Year,Month,Day,Site,SumOfSumVolume
2020,3,16,2,33507
2020,3,17,2,22574
2020,3,18,2,32637
2020,3,19,2,31778
2020,3,20,2,32177
2020,3,21,2,23301
2020,3,22,2,21965
2020,3,23,2,28574
2020,3,24,2,28580
2020,3,25,2,26792
2020,3,26,2,27045
2020,3,27,2,29151
2020,3,28,2,13414
2020,3,29,2,9326
2020,3,30,2,17640
2020,3,31,2,16438
2020,4,1,2,16536
2020,4,2,2,16814
2020,4,3,2,17742
2020,4,4,2,12382
2020,4,5,2,10168
2020,4,6,2,16751
2020,4,7,2,17076
2020,4,8,2,16693
2020,4,9,2,17093
2020,4,10,2,14912
2020,4,11,2,12263
2020,4,12,2,9381
2020,4,13,2,10168
2020,4,14,2,16791
2020,4,15,2,17426
2020,4,16,2,17756
2020,4,17,2,18075
2020,4,18,2,12812
2020,4,19,2,10292
2020,4,20,2,16943
2020,4,21,2,18043
2020,4,22,2,18562
2020,4,23,2,18553
2020,4,24,2,19232
2020,4,25,2,13744
2020,4,26,2,10723
2020,4,27,2,18321
2020,4,28,2,18501
2020,4,29,2,18483
2020,4,30,2,19698
2020,5,1,2,20330
2020,5,2,2,14505
2020,5,3,2,11846
2020,5,4,2,12505
2020,5,5,2,20799
2020,5,6,2,21435
2020,5,7,2,21189
2020,5,8,2,22219
2020,5,9,2,16878
2020,5,10,2,13233
2020,5,11,2,20514
2020,5,12,2,21271
2020,5,13,2,21891
2020,5,14,2,22512
2020,5,15,2,23389
2020,5,16,2,18046
2020,5,17,2,15210
2020,5,18,2,23985
2020,5,19,2,25387
2020,5,20,2,26708
2020,5,21,2,26592
2020,5,22,2,27487
2020,5,23,2,20550
2020,5,24,2,17758
2020,5,25,2,26768
2020,5,26,2,27174
2020,5,27,2,27776
2020,5,28,2,28794
2020,5,29,2,29577
2020,5,30,2,22579
2020,5,31,2,19464
2020,6,1,2,19898
2020,6,2,2,29308
2020,6,3,2,28845
2020,6,4,2,522
2020,1,1,3,20043
2020,1,2,3,21630
2020,1,3,3,24313
2020,1,4,3,22366
2020,1,5,3,21032
2020,1,6,3,22615
2020,1,7,3,23757
2020,1,8,3,24862
2020,1,9,3,25697
2020,1,10,3,27390
2020,1,11,3,25989
2020,1,12,3,23745
2020,1,13,3,24339
2020,1,14,3,26050
2020,1,15,3,23783
2020,1,16,3,26087
2020,1,17,3,28085
2020,1,18,3,27053
2020,1,19,3,25417
2020,1,20,3,24566
2020,1,21,3,25706
2020,1,22,3,25783
2020,1,23,3,26818
2020,1,24,3,28954
2020,1,25,3,28997
2020,1,26,3,25078
2020,1,27,3,24620
2020,1,28,3,27151
2020,1,29,3,26216
2020,1,30,3,27667
2020,1,31,3,29564
2020,2,1,3,29351
2020,2,2,3,25961
2020,2,3,3,25284
2020,2,4,3,25877
2020,2,5,3,26126
2020,2,6,3,27549
2020,2,7,3,29635
2020,2,8,3,29268
2020,2,9,3,24271
2020,2,10,3,25234
2020,2,11,3,25554
2020,2,12,3,26659
2020,2,13,3,28321
2020,2,14,3,30116
2020,2,15,3,28076
2020,2,16,3,25160
2020,2,17,3,25298
2020,2,18,3,26912
2020,2,19,3,27075
2020,2,20,3,27315
2020,2,21,3,29929
2020,2,22,3,28322
2020,2,23,3,24787
2020,2,24,3,25123
2020,2,25,3,26103
2020,2,26,3,25616
2020,2,27,3,27120
2020,2,28,3,29739
2020,2,29,3,29746
2020,3,1,3,25734
2020,3,2,3,25553
2020,3,3,3,25909
2020,3,4,3,27091
2020,3,5,3,28055
