SiteID,Site_Description_Cap,Site_Description_Lower,Region,Lat,Long
6222,KILMACUD RD/SYDENHAM RD(T328),kilmacud rd/sydenham rd(t328),IRE,53.2896288,-6.2391428
6225,LEOPARDSTOWN RD/TORQUAY RD(T318),leopardstown rd/torquay rd(t318),IRE,53.2744079,-6.1930256
6226,LEOPARDSTOWN ROAD/CENTRAL PARK(T536),leopardstown road/central park(t536),IRE,53.2711155,-6.209924
6229,MARINE RD/CROFTON RD(T501),marine rd/crofton rd(t501),IRE,53.2944965,-6.133868422
6235,MONKSTOWN RD/GOGGINS PUB(P411),monkstown rd/goggins pub(p411),IRE,53.29378791,-6.154621479
6240,LEOPARDSTOWN RD / KILGOBBIN RD / HILLCREST RD,leopardstown rd / kilgobbin rd / hillcrest rd,IRE,53.268046,-6.2201118
6241,NEWTOWN PARK AVE/NEWTOWN PARK(T163),newtown park ave/newtown park(t163),IRE,53.2871319,-6.1761781
6242,NEWTOWN PARK/CARYSFORT AVE(T345),newtown park/carysfort ave(t345),IRE,53.2879773,-6.1803901
6247,NUTGROVE AVENUE/LORETO AVENUE(T525),nutgrove avenue/loreto avenue(t525),IRE,53.29272485,-6.273313938
6257,QUEENS ROAD / PARK ROAD(T563),queens road / park road(t563),IRE,53.29113861,-6.12864447
6260,ROCHESTOWN AVE/JOHNSTOWN RD(T162),rochestown ave/johnstown rd(t162),IRE,53.2706371,-6.1430717
6267,SALLYNOGGIN ROAD P.O.(P413),sallynoggin road p.o.(p413),IRE,53.2776139,-6.1407568
6270,SANDYCOVE RD/SANDYCOVE AVE WEST(T505),sandycove rd/sandycove ave west(t505),IRE,53.2860176,-6.1157596
6272,SANDYFORD RD / OLD SANDYFORD RD (T323),sandyford rd / old sandyford rd (t323),IRE,53.2692875,-6.2132997
6279,SHANGANAGH RD/SHANKILL S.C.(T324),shanganagh rd/shankill s.c.(t324),IRE,53.23454218,-6.123385326
6280,SHANGANAGH ROAD@COMMONS ROAD(T545),shanganagh road@commons road(t545),IRE,53.24218552,-6.121554007
6284,STILLORGAN RD@BELFIELD OVERBRIDGE WEST SIDE UCD EXIT (T534),stillorgan rd@belfield overbridge west side ucd exit (t534),IRE,53.3091678,-6.21845421
6289,TANEY ROAD@BIRCHES LANE(T552),taney road@birches lane(t552),IRE,53.29120845,-6.23380463
6291,TIVOLI RD@MULGRAVE TCE(T509),tivoli rd@mulgrave tce(t509),IRE,53.28756551,-6.137246002
6297,WYCKAM BY-PASS EXTENSION@LUAS CAR PARK(T560),wyckam by-pass extension@luas car park(t560),IRE,53.2862477,-6.23733152
6300,MURPHYSTOWN RD / GLENCAIRN RD,murphystown rd / glencairn rd,IRE,53.26498479,-6.210660338
6301,LAUGHANSTOWN RD CROSSING,laughanstown rd crossing,IRE,53.2510385,-6.1560747
6306,CHURCHTOWN RD / NUTGROVE AVE,churchtown rd / nutgrove ave,IRE,53.2954567,-6.2569789
6309,GLENAGEARY RD UPPR / KILL LANE,glenageary rd uppr / kill lane,IRE,53.2834906,-6.1461554
6310,KILL AVE / HONEY PARK,kill ave / honey park,IRE,53.2829292,-6.1475748
6312,BALLYOGAN RD @ MURPHYSTOWN RD,ballyogan rd @ murphystown rd,IRE3,53.2628104,-6.2101079
6313,LEOPARDSTOWN RD @ MURPHYSTOWN RD,leopardstown rd @ murphystown rd,IRE3,53.2694235,-6.2123917
6315,LEOPARDSTOWN RD @ ESB ROUNDABOUT,leopardstown rd @ esb roundabout,IRE,53.2714412,-6.2082049
6344,ROCHESTOWN AVE @ SALLYNOGGIN RD,rochestown ave @ sallynoggin rd,IRE,53.2690835,-6.1701621
6345,DODDER PARK @ DODDER RD LOWER / WOODSIDE,dodder park @ dodder rd lower / woodside,IRE,53.3035186,-6.2713659
6350,ENNISKERRY RD @ GLENAMUCK RD (GOLDEN BALL),enniskerry rd @ glenamuck rd (golden ball),IRE,53.2391464,-6.1963266
6352,GLENAGEARY RD UPPER @ HONEY PARK,glenageary rd upper @ honey park,IRE,53.28225563,-6.14255917
6360,WYATTVILLE ROAD @ TULLYVALE ROAD,wyattville road @ tullyvale road,IRE,53.2424969,-6.1405354
6361,TULLYVALE ROAD @ BISHOP STREET,tullyvale road @ bishop street,IRE,53.2486663,-6.1414232
6362,BARRINGTON RD @ GRAND PARADE,barrington rd @ grand parade,IRE,53.252721,-6.159443
6364,BISHOP STREET @ BUS GATE,bishop street @ bus gate,IRE,53.347397,-6.260321
6366,CASTLE STREET @ BISHOP STREET,castle street @ bishop street,IRE,53.387127,-6.363407
6370,BARTON RD EAST @ NUTGROVE WAY,barton rd east @ nutgrove way,IRE,53.2871272,-6.2648537
6371,BREHON FIELD RD @ GRANGEFIELD RD,brehon field rd @ grangefield rd,IRE,53.271814,-6.254159
6372,SEAPOINT AVE @ CLIFTON AVE,seapoint ave @ clifton ave,IRE,53.294746,-6.153656
6373,ENNISKERRY RD @ FERNHILL PARK (BELARMINE),enniskerry rd @ fernhill park (belarmine),IRE,53.257435,-6.221508
6374,BRAY NEW SCHOOLS PEDESTRIAN CROSSING,bray new schools pedestrian crossing,IRE,53.209496,-6.111297
6375,KILMACUD ROAD @ THE CHILDRENS HOUSE PRIMARY SCHOOL,kilmacud road @ the childrens house primary school,IRE,53.2888781,-6.2056046
6376,CHERRYWOOD AVE / CHERRYWOOD BUSINESS PARK,cherrywood ave / cherrywood business park,IRE,53.243844,-6.141023
6377,CHERRYWOOD AVE PED,cherrywood ave ped,IRE,53.243405,-6.140503
NULL,NULL,NULL,NULL,NULL,NULL
